,i,year,month,acyear,title,category,inst,instclass,url,country,postalcode
1155,1155,2020,6,2020,"Postdoctoral Researcher, Astronomy (Visiting)",Post-doctoral Positions and Fellowships,SOFIA / Universities Space Research Association,Other,/ad/ea2c16ee,United States of America,94043
1156,1156,2020,8,2020,Software Engineer,Science Engineering,W. M. Keck Observatory,Other,/ad/3f8e486c,United States of America,96743
1157,1157,2020,11,2020,Postdoctoral Research Associate I,Post-doctoral Positions and Fellowships,University of Arizona,Large Academic,/ad/b29aaafd,United States of America,
1158,1158,2023,2,2022,Postdoc positions in computational astrophysics ,Post-doctoral Positions and Fellowships,"UGA, CNRS, CEA",Large Academic,/ad/b02dacfa,France,
1159,1159,2023,5,2022,Cosmography of Laniakea,Faculty Positions (visiting and non-tenure),Aarhus Universitet,Research Laboratory,/ad/4d9bebdd,Denmark,
1160,1160,2021,1,2020,LMT M&amp;C Software Engineer,Science Engineering,University of Massachusetts Amherst,Large Academic,/ad/46507e1f,United States of America,01035-3520
1161,1161,2020,1,2019,Tenure-track WISE scientist/engineer(s),Science Engineering,"ASTRON, the Netherlands Insitute for Radio Astronomy",Foreign,/ad/752ea4a4,Netherlands,7991 PD
1162,1162,2021,7,2021,Astronomical Observing Assistant,Scientific/Technical Staff,W. M. Keck Observatory,Other,/ad/4c6f2ecf,United States of America,96743
1163,1163,2022,7,2022,Career Development Fellowship in Astrophysics,Post-doctoral Positions and Fellowships,"Christ Church, Oxford",Large Academic,/ad/f8a476b0,United Kingdom of Great Britain and Northern Ireland,OX1 1DP
1164,1164,2019,11,2019,DESI Postdoctoral Fellow,Post-doctoral Positions and Fellowships,Lawrence Berkeley National Laboratory,Research Laboratory,/ad/87b6812a,United States of America,94720
1165,1165,2020,12,2020,Australian postdoc in astrophysics,Post-doctoral Positions and Fellowships,Manly Astrophysics,Foreign,/ad/6e882613,Australia,2095
1166,1166,2022,9,2022,Limited Term Lecturer in Astronomy,Faculty Positions (visiting and non-tenure),Georgia College &amp; State University,Small Academic,/ad/a4bc41a5,United States of America,
1167,1167,2022,9,2022,Postdoctoral position in computational astrophysics,Post-doctoral Positions and Fellowships,University of Padua,Large Academic,/ad/e4378314,Italy,35122
1168,1168,2019,12,2019,Australian National University new Centre for Gravitational Astrophysics: Full Professor,Faculty Positions (tenure and tenure-track),The Australian National University,Large Academic,/ad/0f019131,Australia,2601
1169,1169,2021,5,2020,Director of the Large Binocular Telescope,Science Management,Large Binocular Telescope Corporation,Large Academic,/ad/96400ed0,United States of America,AZ 85721
1170,1170,2022,9,2022,Science Instruments Project Manager,Science Engineering,"TMT International Observatory, LLC",Other,/ad/986afa43,United States of America,
1171,1171,2023,1,2022,ERC-funded Postdoctoral position,Post-doctoral Positions and Fellowships,University of Florence,Large Academic,/ad/c8f6fc31,Italy,
1172,1172,2019,6,2019,Postdoc in Exoplanetary Atmospheres,Post-doctoral Positions and Fellowships,Technical University of Denmark,Large Academic,/ad/c82177f4,Denmark,2800
1173,1173,2019,10,2019,PhD Position on Stellar Spectroscopic Archeology of Nearby Galaxies,Pre-doctoral/Graduate Positions,University of Vienna,Large Academic,/ad/dee42211,Austria,1180
1174,1174,2021,7,2021,Operations Manager,Science Management,Ecole Polytechnique Fédérale de Lausanne (EPFL),Research Laboratory,/ad/5cbb43bd,Switzerland,1015
1175,1175,2019,9,2019,Instructor,Faculty Positions (visiting and non-tenure),Mississippi State University,Large Academic,/ad/3bbfa380,United States of America,39762
1176,1176,2020,2,2019,Postdoctoral Research Assistant in High Precision Radial Velocity Searches for Exoplanets (2 posts) ,Post-doctoral Positions and Fellowships,University of Oxford,Large Academic,/ad/1db37ad1,United Kingdom of Great Britain and Northern Ireland,OX1 3RH
1177,1177,2022,9,2022,CfA Postdoctoral Fellowship 2023,Post-doctoral Positions and Fellowships,Center for Astrophysics | Harvard &amp; Smithsonian,Other,/ad/80192df7,United States of America,02138
1178,1178,2020,9,2020,Research Associate Positions,Post-doctoral Positions and Fellowships,Yunnan University (YNU),Foreign,/ad/20565ce8,China,650500
1179,1179,2020,3,2019,"Senior Research Scientist (LOFAR) – Ventspils International Radio Astronomy Centre, Latvia",Faculty Positions (visiting and non-tenure),Ventspils University of Applied Sciences,Small Academic,/ad/5b41cb91,Latvia,LV-3601
1180,1180,2020,10,2020,"Flatiron Institute Inclusion, Diversity, Equity, Advocacy (IDEA) Scholar",Other,Simons Foundation/Flatiron Institute,Other,/ad/3289a8cf,United States of America,
1181,1181,2019,11,2019,Postdoctoral Researcher in Cosmology,Post-doctoral Positions and Fellowships,Jet Propulsion Laboratory,Research Laboratory,/ad/f1d4ec85,United States of America,91109
1182,1182,2019,10,2019,Assistant Level Faculty Position - Experimental or Observational Astrophysics - Department of Physics,Faculty Positions (tenure and tenure-track),"University of California, Santa Barbara",Large Academic,/ad/9638eeda,United States of America,93106-2034
1183,1183,2022,1,2021,Postdoctoral Researcher in Nearby Galaxies and Resolved Stellar Populations,Post-doctoral Positions and Fellowships,The University of Tampa,Large Academic,/ad/0975dcbd,United States of America,33606
1184,1184,2020,1,2019,Postdoctoral position in optical astronomy with machine learning,Post-doctoral Positions and Fellowships,"Graduate School of Science, Nagoya University",Large Academic,/ad/0bdfaae2,Japan,4648602
1185,1185,2021,9,2021,Tenure-track Faculty Position in Theoretical Astrophysics,Faculty Positions (tenure and tenure-track),Cornell Unversity,Large Academic,/ad/38d7152c,United States of America,14850
1186,1186,2020,4,2019,Full professorship (Chair/W3) for Experimental Physics (Sub-mm Astronomy),Faculty Positions (tenure and tenure-track),University of Cologne,Large Academic,/ad/9b3474a6,Germany,50937
1187,1187,2022,10,2022,Postdoctoral Researcher in Galaxy Evolution/AGN with Radiation-hydrodynamic simulations,Post-doctoral Positions and Fellowships,Newcastle University,Foreign,/ad/01e8bc20,United Kingdom of Great Britain and Northern Ireland,NE1 7RY
1188,1188,2019,9,2019,Postdoctoral position in X-ray analysis of ram-pressure stripped galaxies in nearby clusters,Post-doctoral Positions and Fellowships,INAF/Padova Astronomical Observatory,Research Laboratory,/ad/dd0263ff,Italy,35127
1189,1189,2021,6,2021,Communications Specialist II,Other,AURA/NSO,Other,/ad/3a6e1ae6,United States of America,
1190,1190,2022,6,2022,two postdoc positions in galactic phylogenetics,Post-doctoral Positions and Fellowships,Millenium Nucleus ERIS,Foreign,/ad/109cdb25,Chile,
1191,1191,2020,11,2020,Computer Scientist / Mathematician (m/f/d) Ref.No. 316,Scientific/Technical Staff,Max Planck Institute for Astronomy,Large Academic,/ad/f23cf34b,Germany,69117
1192,1192,2022,11,2022,Two postdoctoral positions in stellar and Galactic astronomy,Post-doctoral Positions and Fellowships,Australian National University,Large Academic,/ad/ba6faef0,Australia,
1193,1193,2022,10,2022,Doctoral Student in observational extragalactic astrophysics,Pre-doctoral/Graduate Positions,Leibniz Institute for Astrophysics Potsdam (AIP),Foreign,/ad/6b98c4bc,Germany,14482
1194,1194,2022,9,2022,"Tenure-Track Assistant Professor Position in Astronomy, Astrophysics, Complex Plasma Physics, or Space Physics ",Faculty Positions (tenure and tenure-track),Baylor University,Large Academic,/ad/d0c31523,United States of America,76798
1195,1195,2021,3,2020,One postdoctoral contract STARBURSTS 2021 (PS-2021-022),Post-doctoral Positions and Fellowships,Instituto de Astrofísica de Canarias,Government Agency,/ad/dd1ef0c7,Spain,
1196,1196,2020,5,2019,PhD in Astronomy at Padova University,Pre-doctoral/Graduate Positions,Padova University,Large Academic,/ad/03a424b2,Italy,
1197,1197,2020,1,2019,Post-doctoral Research Assistant - Constraining Dark Energy and Modified Gravity Using Non-Linear Structures in Cosmology ,Post-doctoral Positions and Fellowships,Queen Mary University of London,Large Academic,/ad/79f993b3,United Kingdom of Great Britain and Northern Ireland,E1 4NS
1198,1198,2019,12,2019,PhD Student in Extra-Galactic Astronomy,Pre-doctoral/Graduate Positions,Lowell Observatory,Research Laboratory,/ad/674aace5,United States of America,86001
1199,1199,2020,9,2020,NASA Hubble Fellowship Program ,Post-doctoral Positions and Fellowships,Space Telescope Science Institute,Other,/ad/1d418f56,United States of America,21218
1200,1200,2020,12,2020,HETDEX Postdoctoral Researcher at Missouri S&amp;T,Post-doctoral Positions and Fellowships,Missouri University of Science and Technology,Large Academic,/ad/dea03822,United States of America,
1201,1201,2020,3,2019,Postdoctoral Research Fellowship in Stellar Astrophysics,Post-doctoral Positions and Fellowships,University of Warwick,Large Academic,/ad/aae57473,United Kingdom of Great Britain and Northern Ireland,CV4 7AL
1202,1202,2021,1,2020,Support Astronomer,Scientific/Technical Staff,New Mexico State University,Small Academic,/ad/9def5253,United States of America,88349
1203,1203,2020,11,2020,Postdoctoral Associate in Exoplanet Science,Post-doctoral Positions and Fellowships,Lowell Observatory,Other,/ad/41c5e635,United States of America,86001
1204,1204,2020,5,2019,Yu-Xiu Young Scholar Program In Nanjing University,Post-doctoral Positions and Fellowships,Nanjing University,Foreign,/ad/8b4c4519,China,210023
1205,1205,2023,4,2022,Postdoctoral QUC Fellow Position (QUC Assistant professor) in Extra-galactic Astronomy and Cosmology,Post-doctoral Positions and Fellowships,Korea Institute for Advanced Study,Government Agency,/ad/0c9c769c,Korea (Republic of),02455
1206,1206,2021,10,2021,Postdoctoral Positions in Astrophysics at Shanghai Astronomical Observatory,Post-doctoral Positions and Fellowships,Shanghai Astronomical Observatory,Research Laboratory,/ad/c9da1388,China,
1207,1207,2021,10,2021,Postdoctoral Research Assistant in Gravitational Wave Cosmology QMUL26580,Post-doctoral Positions and Fellowships,Queen Mary University of London,Large Academic,/ad/ef668657,United Kingdom of Great Britain and Northern Ireland,E14NS
1208,1208,2022,11,2022,Postdoctoral positions on the Origin and Fate of Dust in the Universe,Post-doctoral Positions and Fellowships,Chalmers University of Technology,Large Academic,/ad/7c279e4e,Sweden,
1209,1209,2021,5,2020,Visiting Assistant Professor,Faculty Positions (visiting and non-tenure),Boston University,Large Academic,/ad/4b84298b,United States of America,02215
1210,1210,2021,6,2021,Postdoctoral Position in Cosmology at Sejong University,Post-doctoral Positions and Fellowships,Sejong University,Small Academic,/ad/5ae1ec76,Korea (Republic of),
1211,1211,2021,10,2021,Postdoctoral Fellow - Center for Gravitational Waves and Cosmology at West Virginia University,Post-doctoral Positions and Fellowships,West Virginia University,Large Academic,/ad/db3f0b0e,United States of America,26506-6315
1212,1212,2022,5,2021,Origin and properties of isolated planetary mass objects,Pre-doctoral/Graduate Positions,University of Bordeaux,Large Academic,/ad/d463e9e1,France,33600
1213,1213,2021,11,2021,Visiting Research Fellow in AGN/star formation,Post-doctoral Positions and Fellowships,Astronomical Institute of the Czech Academy of Sciences,Large Academic,/ad/dd28083c,Czech Republic,14100
1214,1214,2022,2,2021,Postdoctoral Researcher in ISM Physics and Star Formation,Post-doctoral Positions and Fellowships,Heidelberg University,Large Academic,/ad/2ec60431,Germany,69120
1215,1215,2022,9,2022,Ph.D. Scholarship in Astronomy &amp; Planetary Science at the University of Atacama,Pre-doctoral/Graduate Positions,Universidad de Atacama,Large Academic,/ad/2922654d,Chile,
1216,1216,2020,8,2020,Stanford - Santa Cruz Cosmology Fellowship,Post-doctoral Positions and Fellowships,Kavli Institute for Particle Astrophysics and Cosmology,Large Academic,/ad/37ab4428,United States of America,94305
1217,1217,2019,10,2019,Kavli Astrophysics Postdoctoral Fellowship,Post-doctoral Positions and Fellowships,"KAVLI INSTITUTE FOR ASTRONOMY AND ASTROPHYSICS, PEKING UNIVERSITY",Large Academic,/ad/3cbd55c3,China,
1218,1218,2022,1,2021,Postdoctoral Researcher with instrumentation and software skills for high resolution spectrograph,Post-doctoral Positions and Fellowships,University of Hertfordshire,Large Academic,/ad/a7689c19,United Kingdom of Great Britain and Northern Ireland,
1219,1219,2021,3,2020,Postdoctoral position in the area of stellar atmospheres,Post-doctoral Positions and Fellowships,Leibniz Institute for Astrophysics Potsdam (AIP),Research Laboratory,/ad/57d0a64b,Germany,14482
1220,1220,2022,8,2022,Data Scientist/Scientific Software Developer - Institute for Data Intensive Engineering and Science (IDIES),Scientific/Technical Staff,Johns Hopkins University,Large Academic,/ad/44e2f9e6,United States of America,21218
1221,1221,2022,12,2022,Astronomer-in-Residence in the Central Idaho Dark Sky Reserve,Other,Boise State University,Large Academic,/ad/26676943,United States of America,83725-1570
1222,1222,2022,3,2021,"Assistant Curator, Planetarium Education",Other,NJ State Museum,Planetarium,/ad/f4ed55c4,United States of America,08625
1223,1223,2021,8,2021,Faculty Positions at Sun Yat-sen University,Faculty Positions (tenure and tenure-track),"School of Physics and Astronomy, Sun Yat-sen University",Foreign,/ad/c217afd5,China,519082
1224,1224,2020,12,2020,Research fellow in transient/multi-messenger astronomy,Post-doctoral Positions and Fellowships,University of Birmingham,Large Academic,/ad/55f96649,United Kingdom of Great Britain and Northern Ireland,
1225,1225,2023,2,2022,Assistant Professor – Space Physicist,Faculty Positions (tenure and tenure-track),The University of Alabama in Huntsville (UAH),Other,/ad/e56854b9,United States of America,35899-0001
1226,1226,2021,1,2020,Postdoctoral position in High-Energy Astrophysics (xmm2athena),Post-doctoral Positions and Fellowships,Observatoire Astronomique de Strasbourg,Foreign,/ad/de58aad9,France,67000
1227,1227,2021,9,2021,"Project Research Staff (Exoplanets, Prof. Ikoma Group: Division of Science)(NAOJ)",Post-doctoral Positions and Fellowships,National Astronomical Observatory of Japan,Foreign,/ad/aea05ff0,Japan,
1228,1228,2020,9,2020,"Flatiron Research Fellow, Machine Learning &amp; Statistics, Center for Computational Astrophysics",Post-doctoral Positions and Fellowships,Flatiron Institute at Simons Foundation,Other,/ad/ef9e61c6,United States of America,10010
1229,1229,2020,11,2020,Assistant Professor - Astronomy/Physics,Faculty Positions (tenure and tenure-track),Valdosta State University,Large Academic,/ad/a44148f9,United States of America,31698
